Date,Close,Label,pct_change,direction,Top1,Top2
2021-01-05,17.370001,GME,0.695657971014474,1,-0.994,-0.656
2021-01-06,18.360001,GME,5.69948153716284,1,0.112,-0.086
2021-01-07,18.08,GME,-1.52505982978978,-1,0.43,-0.996
2021-01-08,17.690001,GME,-2.15707411504424,-1,0.112,-0.032
2021-01-11,19.940001,GME,12.7190495919135,1,-0.999,0.729
2021-01-12,19.950001,GME,0.0501504488390037,1,0.325,-1
2021-01-13,31.4,GME,57.3934758198759,1,-0.995,0.854
2021-01-14,39.91,GME,27.1019108280255,1,-0.454,-0.139
2021-01-15,35.5,GME,-11.0498621899273,-1,-0.598,0.663
2021-01-19,39.360001,GME,10.8732422535211,1,-0.996,-0.97
2021-01-20,39.119999,GME,-0.609761163369882,-1,0.245,0.354
2021-01-21,43.029999,GME,9.99488778105539,1,-0.996,0.654
2021-01-22,65.010002,GME,51.0806495719417,1,-0.999,-0.997
2021-01-25,76.790001,GME,18.1202870905926,1,0.452,0.091
2021-01-26,147.979996,GME,92.7073760553799,1,-0.153,-0.405
2021-01-27,347.51001,GME,134.835801725525,1,-0.992,-0.831
2021-01-28,193.600006,GME,-44.2893728442528,-1,0.179,-0.875
2021-01-29,325,GME,67.8718956238049,1,0.99,-0.991
2021-02-01,225,GME,-30.7692307692308,-1,-0.545,-0.798
2021-02-02,90,GME,-60,-1,-0.989,-0.282
2021-02-03,92.410004,GME,2.67778222222221,1,-0.203,0.998
2021-02-04,53.5,GME,-42.1058352080582,-1,-1,-0.999
2021-02-05,63.77,GME,19.196261682243,1,-0.999,-0.999
2021-02-08,60,GME,-5.91187078563589,-1,0.999,-0.57
2021-02-09,50.310001,GME,-16.1499983333333,-1,-1,-0.437
2021-02-10,51.200001,GME,1.7690319664275,1,0.992,-0.47
2021-02-11,51.099998,GME,-0.195318355560192,-1,0.71,-0.501
2021-02-12,52.400002,GME,2.54403923851425,1,-0.695,-0.432
2021-02-16,49.509998,GME,-5.51527459865364,-1,-0.452,0.057
2021-02-17,45.939999,GME,-7.21066278370684,-1,-0.775,0.021
2021-02-18,40.689999,GME,-11.4279497481051,-1,-0.004,-0.946
2021-02-19,40.59,GME,-0.245758177580679,-1,-0.272,0.343
2021-02-22,46,GME,13.3284060113328,1,-0.718,-0.727
2021-02-23,44.970001,GME,-2.23912826086956,-1,-0.351,0.855
2021-02-24,91.709999,GME,103.935950546232,1,0.996,-0.878
2021-02-25,108.730003,GME,18.5585041822975,1,0.02,-0.928
2021-02-26,101.739998,GME,-6.42877293031988,-1,0.976,0.983
2021-03-01,120.400002,GME,18.3408731735969,1,-0.001,-0.946
2021-03-02,118.18,GME,-1.84385545109874,-1,0.825,-0.102
2021-03-03,124.18,GME,5.07700118463361,1,0.922,-0.937
2021-03-04,132.350006,GME,6.57916411660493,1,-0.583,0.053
2021-03-05,137.740005,GME,4.07253400502301,1,-0.583,-0.997
2021-03-08,194.5,GME,41.2080680554644,1,-0.583,-0.874
2021-03-09,246.899994,GME,26.9408709511568,1,-0.583,-0.994
2021-03-10,265,GME,7.33090580796045,1,0.881,-0.655
2021-03-11,260,GME,-1.88679245283019,-1,-1,-0.863
2021-03-12,264.5,GME,1.73076923076922,1,-1,0.053
2021-03-15,220.139999,GME,-16.7712669187146,-1,0.886,0.142
2021-03-16,208.169998,GME,-5.43744937511334,-1,0.98,0.98
2021-03-17,209.809998,GME,0.787817656605827,1,0.915,-0.663
2021-03-18,201.75,GME,-3.84157002851695,-1,0.937,-0.5
2021-03-19,200.270004,GME,-0.73357918215613,-1,0.998,-0.942
2021-03-22,194.490005,GME,-2.88610320295395,-1,0.923,-0.414
2021-03-23,181.75,GME,-6.55046772197883,-1,0.561,-0.223
2021-03-24,120.339996,GME,-33.7881727647868,-1,0.944,-0.995
2021-03-25,183.75,GME,52.6923766891267,1,-0.801,-0.996
2021-03-26,181,GME,-1.49659863945578,-1,0.954,-0.998
2021-03-29,181.300003,GME,0.165747513812153,1,0.026,0.386
2021-03-30,194.460007,GME,7.25868934486449,1,0.98,-1
2021-03-31,189.820007,GME,-2.38609474080703,-1,0.935,0.046
2021-04-01,191.449997,GME,0.858702950105772,1,0.932,-0.999
2021-04-05,186.949997,GME,-2.35048319170253,-1,0.799,-0.341
2021-04-06,184.5,GME,-1.31050924809589,-1,0.919,-0.181
2021-04-07,177.970001,GME,-3.53929485094852,-1,0.96,0.344
2021-04-08,170.259995,GME,-4.33219416568975,-1,0.888,-0.136
2021-04-09,158.360001,GME,-6.98930714757744,-1,0.969,-1
2021-04-12,141.089996,GME,-10.9055347884217,-1,0.24,-1
2021-04-13,140.990005,GME,-0.0708703684420109,-1,0.979,-0.67
2021-04-14,166.529999,GME,18.1147550140168,1,0.999,-0.54
2021-04-15,156.440002,GME,-6.05896658895675,-1,0.998,-0.421
2021-04-16,154.690002,GME,-1.11863971978216,-1,0.996,0.382
2021-04-19,164.369995,GME,6.25767203752443,1,-0.537,-0.064
2021-04-20,158.529999,GME,-3.55295746039292,-1,-1,-0.304
2021-04-21,158.509995,GME,-0.0126184319221512,-1,0,-0.304
2021-04-22,151.169998,GME,-4.63062092709045,-1,-0.998,-0.295
2021-04-23,151.179993,GME,0.00661176168037514,1,-0.998,-0.44
2021-04-26,168.929993,GME,11.7409715715492,1,-0.396,0.42
2021-04-27,177.770004,GME,5.23294344776302,1,-0.999,-0.739
2021-04-28,178.580002,GME,0.455643799164229,1,0.039,0.208
2021-04-29,176.190002,GME,-1.33833574489489,-1,0.49,-0.655
2021-04-30,173.589996,GME,-1.47568305266265,-1,0.103,-0.648
2021-05-04,160.729996,GME,-0.906289165960961,-1,-0.751,0.735
2021-05-05,159.479996,GME,-0.777701755184512,-1,-0.031,-0.963
2021-05-06,161.009995,GME,0.959367342848449,1,-0.726,-0.536
2021-01-05,131.009995,AAPL,1.23637350324171,1,-0.115,-0.352
2021-01-06,126.599998,AAPL,-3.36615309389181,-1,-0.188,0.145
2021-01-07,130.919998,AAPL,3.41232232878865,1,-0.627,0.195
2021-01-08,132.050003,AAPL,0.863126349879728,1,0.147,-0.046
2021-01-11,128.979996,AAPL,-2.32488218875694,-1,-0.359,-0.172
2021-01-12,128.800003,AAPL,-0.139551097520574,-1,-0.492,-0.254
2021-01-13,130.889999,AAPL,1.62266766406829,1,-0.47,-0.012
2021-01-14,128.910004,AAPL,-1.51271679664388,-1,-0.305,-0.59
2021-01-15,127.139999,AAPL,-1.37305480186005,-1,0.016,-0.442
2021-01-19,127.830002,AAPL,0.542711188789613,1,-0.262,0.141
